index,title,rating,text,analysis
37,Pretty good,5,I like deep cleaning and this vacuum allows that for sure. Has great suction and the attachments work well. It seems a little on the heavy side but it’s alright. Fluffs up the carpet nicely and easy to keep clean.,"[{'aspect': 'Cleaning', 'segment': 'I like deep cleaning and this vacuum allows that for sure', 'sentiment': 'positive'}, {'aspect': 'Suction', 'segment': 'Has great suction', 'sentiment': 'positive'}, {'aspect': 'Attachments', 'segment': 'the attachments work well', 'sentiment': 'positive'}, {'aspect': 'Weight', 'segment': 'It seems a little on the heavy side but it’s alright', 'sentiment': 'negative'}, {'aspect': 'Carpet', 'segment': 'Fluffs up the carpet nicely', 'sentiment': 'positive'}, {'aspect': 'Maintenance', 'segment': 'easy to keep clean', 'sentiment': 'positive'}]"
23,Great Vaccum!,5,This vacuum works exactly like I wanted it to.  It picks up everything.,"[{'aspect': 'Overall satisfaction', 'segment': 'This vacuum works exactly like I wanted it to', 'sentiment': 'positive'}, {'aspect': 'Performance', 'segment': 'It picks up everything', 'sentiment': 'positive'}]"
22,Does the job,4,"Very good budget vacuum. Cleans very well. Does not fit under the couch and I did not think to get a retractable cord, I wish I had. But over all, its a very good vacuum cleaner. Sucked ups a cup of dirt in seconds that I robot left behind.","[{'aspect': 'Overall satisfaction', 'segment': 'Very good budget vacuum', 'sentiment': 'positive'}, {'aspect': 'Cleaning', 'segment': 'Cleans very well', 'sentiment': 'positive'}, {'aspect': 'Size', 'segment': 'Does not fit under the couch', 'sentiment': 'negative'}, {'aspect': 'Cord', 'segment': 'I did not think to get a retractable cord, I wish I had', 'sentiment': 'negative'}, {'aspect': 'Comparison', 'segment': 'Sucked ups a cup of dirt in seconds that I robot left behind', 'sentiment': 'positive'}]"
34,Bissell... Dog hair... Bissell WON!!!,5,"It has great suction but when it started to suck my sheet up it started to smoke a little, luckily the sheet was very easy to remove. The smoke stopped and most like was from the friction of the sheet.","[{'aspect': 'Suction', 'segment': 'It has great suction', 'sentiment': 'positive'}, {'aspect': 'Smoking', 'segment': 'it started to smoke a little', 'sentiment': 'negative'}, {'aspect': 'Ease of use', 'segment': 'Luckily the sheet was very easy to remove', 'sentiment': 'positive'}]"
36,Great vaccum for the price,5,Such great suction on this vacuum. It manages to pickup so much first and hair from my carpets,[]
10,Great value,5,I love this.  I have 2 dogs and it doesn't clog up. Fantastic. Best vacuum I've owned,"[{'aspect': 'Overall satisfaction', 'segment': 'I love this', 'sentiment': 'positive'}, {'aspect': 'Hair', 'segment': ""it doesn't clog up"", 'sentiment': 'positive'}, {'aspect': 'Comparison', 'segment': ""Best vacuum I've owned"", 'sentiment': 'positive'}]"
32,Práctica y eficiente,4,"Trabaja muy bien, fácil de limpiar los filtros, no es muy liviana pero no afecta al trabajar bonito color","[{'aspect': 'Overall satisfaction', 'segment': 'Trabaja muy bien', 'sentiment': 'positive'}, {'aspect': 'Ease of cleaning', 'segment': 'fácil de limpiar los filtros', 'sentiment': 'positive'}, {'aspect': 'Weight', 'segment': 'no es muy liviana', 'sentiment': 'negative'}, {'aspect': 'Appearance', 'segment': 'bonito color', 'sentiment': 'positive'}]"
30,Excellent appliance,5,This vacuum is so great even the cleaning lady raves about it.  She has a vacuum but only uses ours.,"[{'aspect': 'Overall satisfaction', 'segment': 'This vacuum is so great', 'sentiment': 'positive'}, {'aspect': ""Cleaning lady's opinion"", 'segment': 'even the cleaning lady raves about it', 'sentiment': 'positive'}, {'aspect': ""Cleaning lady's vacuum"", 'segment': 'She has a vacuum but only uses ours', 'sentiment': 'positive'}]"
11,From a Shark to a Bissell!!!,5,"I was a shark believer, and i still like their vacuums.  But after having to replace ours 3 times in the last 5 years, it was time to try something different.  This vacuum has surpassed my expectations and i love it.  i hope it lasts forever!","[{'aspect': 'Reliability', 'segment': 'after having to replace ours 3 times in the last 5 years', 'sentiment': 'negative'}, {'aspect': 'Performance', 'segment': 'This vacuum has surpassed my expectations', 'sentiment': 'positive'}, {'aspect': 'Longevity', 'segment': 'i hope it lasts forever!', 'sentiment': 'positive'}]"
14,Práctica y eficiente,4,"Trabaja muy bien, fácil de limpiar los filtros, no es muy liviana pero no afecta al trabajar bonito color","[{'aspect': 'Overall satisfaction', 'segment': 'Trabaja muy bien', 'sentiment': 'positive'}, {'aspect': 'Ease of cleaning', 'segment': 'fácil de limpiar los filtros', 'sentiment': 'positive'}, {'aspect': 'Weight', 'segment': 'no es muy liviana', 'sentiment': 'negative'}, {'aspect': 'Appearance', 'segment': 'bonito color', 'sentiment': 'positive'}]"
33,I asked for a vacuum cleaner not sheet sucker,4,Works great on pet hair,[]
4,Bissell CleanView Swivel Pet Reach Vacuum Cleaner,5,"Easy to assemble, and emptying tank is straight forward. Used it to vacuum 1 room, and it filled the tank twice. Very impressed, awesome suction. Hopefully it will last, but so far-so good.","[{'aspect': 'Assembly', 'segment': 'Easy to assemble', 'sentiment': 'positive'}, {'aspect': 'Emptying tank', 'segment': 'emptying tank is straight forward', 'sentiment': 'positive'}, {'aspect': 'Suction', 'segment': 'awesome suction', 'sentiment': 'positive'}, {'aspect': 'Longevity', 'segment': 'Hopefully it will last', 'sentiment': 'positive'}]"
6,Great Vaccum!,5,This vacuum works exactly like I wanted it to.  It picks up everything.,"[{'aspect': 'Overall satisfaction', 'segment': 'This vacuum works exactly like I wanted it to', 'sentiment': 'positive'}, {'aspect': 'Performance', 'segment': 'It picks up everything', 'sentiment': 'positive'}]"
17,Great vaccum for the price,5,Such great suction on this vacuum. It manages to pickup so much first and hair from my carpets,[]
26,Picks up dog hair on all surfaces,5,"Good suction, picks up dog hair, dirt, hay, etc. Easy to empty canister. Easy to clean filter. Does get clogged, but easy to take apart and unclog, takes no time at all.","[{'aspect': 'Suction', 'segment': 'Good suction', 'sentiment': 'positive'}, {'aspect': 'Picks up', 'segment': 'picks up dog hair, dirt, hay, etc.', 'sentiment': 'positive'}, {'aspect': 'Canister', 'segment': 'Easy to empty canister.', 'sentiment': 'positive'}, {'aspect': 'Filter', 'segment': 'Easy to clean filter.', 'sentiment': 'positive'}, {'aspect': 'Clogging', 'segment': 'Does get clogged, but easy to take apart and unclog, takes no time at all.', 'sentiment': 'negative'}]"
